,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
496,622,0,0,32,6,169089.38,2,1,0,101057.95
6841,714,1,1,26,3,119545.48,2,1,0,65482.94
7435,610,2,0,50,5,130554.51,3,1,0,184758.17
3868,746,0,0,34,4,0.0,1,0,1,65166.6
1165,712,1,0,49,5,154776.42,2,0,0,196257.68
7757,850,0,1,40,6,97339.99,1,0,1,88815.25
6123,465,2,0,33,6,0.0,2,1,1,95500.98
3037,693,0,1,21,1,0.0,2,1,1,3494.02
1087,498,0,0,31,10,0.0,2,1,0,13892.57
1488,596,2,1,30,6,121345.88,4,1,0,41921.75
1425,726,0,0,42,2,109471.79,1,0,1,175161.05
4918,717,0,0,36,2,99472.76,2,1,0,94274.72
1007,564,0,1,42,7,99824.45,1,1,1,36721.4
4395,660,0,0,20,6,167685.56,1,1,0,57929.9
8116,640,1,0,43,9,94752.49,1,1,0,184006.36
5753,760,2,0,41,6,0.0,2,0,0,101491.23
3941,654,0,1,32,9,121455.65,1,1,0,190068.53
6225,598,1,1,32,9,123938.6,2,1,0,198894.42
1606,566,1,0,40,2,97001.36,2,1,0,154486.01
9220,598,0,1,60,4,0.0,1,1,0,197727.14
3462,428,0,0,62,1,107735.93,1,0,1,58381.77
3598,720,1,0,37,8,156282.79,1,1,0,45985.52
2121,671,0,1,30,2,0.0,1,0,1,102057.86
7833,624,2,1,33,6,66220.17,1,0,1,170819.01
3134,694,0,1,34,5,127900.03,1,1,0,101737.8
4650,670,0,1,33,2,141204.65,2,1,0,76257.46
7806,680,0,0,25,4,123816.5,1,1,1,90162.35
1142,793,2,1,41,9,0.0,2,1,0,152153.74
789,704,2,1,48,8,167997.6,1,1,1,173498.45
8914,429,0,0,39,6,48023.83,1,1,0,74870.99
6669,517,0,1,56,9,142147.32,1,0,0,39488.04
5003,740,0,1,36,7,0.0,1,1,1,13177.4
361,643,1,0,45,2,150842.93,1,0,1,2319.96
6911,705,1,0,54,3,125889.3,3,1,0,96013.5
1547,653,2,0,30,2,88243.29,2,1,1,96658.26
221,514,2,1,30,7,0.0,1,0,1,125010.24
5795,709,0,1,39,8,0.0,2,1,0,56214.09
6393,593,1,0,41,4,119703.1,2,1,1,109783.29
9907,481,0,0,28,10,0.0,2,1,0,145215.96
6303,788,1,0,49,4,137455.99,1,1,0,184178.29
8338,602,2,0,42,1,138912.17,1,1,1,139494.75
1185,756,0,1,37,3,132623.6,1,1,1,58974.0
9671,649,1,1,78,4,68345.86,2,1,1,142566.75
4357,755,0,1,36,8,0.0,2,1,0,176809.87
1368,689,2,0,31,4,0.0,2,1,1,136610.02
4000,520,0,1,38,5,0.0,2,1,0,163185.76
6304,648,0,0,38,2,0.0,2,0,1,9551.49
783,571,0,0,35,8,0.0,2,0,0,84569.13
5837,850,0,0,35,6,81684.97,1,1,0,824.0
6976,701,2,0,39,9,0.0,2,1,1,110043.88
7225,781,1,1,35,7,92526.15,2,1,1,173837.54
2095,611,1,0,40,7,128486.91,2,1,0,10109.47
9871,633,0,0,34,3,123034.43,2,1,1,38315.04
8560,627,1,1,28,5,71097.23,1,1,1,130504.49
1089,628,0,0,51,3,123981.31,2,1,1,40546.15
874,645,0,0,38,5,101430.3,2,0,1,4400.32
24,846,0,0,38,5,0.0,1,1,1,187616.16
6459,606,1,1,45,5,63832.43,1,1,1,93707.8
2685,679,0,1,60,6,0.0,2,1,1,77331.77
7447,636,1,1,30,8,141787.31,2,1,1,109685.61
8990,784,1,1,28,2,109960.06,2,1,1,170829.87
5894,583,0,1,39,1,129299.28,2,1,0,73107.6
3831,722,0,1,46,5,0.0,2,1,0,179908.71
483,486,1,1,37,9,115217.99,2,1,0,144995.33
7714,682,0,0,30,9,0.0,2,1,1,195104.91
7901,628,1,0,28,3,153538.13,2,1,0,110776.01
8798,543,2,1,23,5,0.0,2,1,0,117832.39
9836,587,0,1,39,10,0.0,2,1,1,170409.45
3891,723,1,0,28,5,91938.31,1,1,0,143481.85
1390,653,0,0,27,9,0.0,2,1,0,96429.29
5850,631,1,0,22,6,139129.92,1,1,1,63747.51
4839,531,0,0,53,5,127642.44,1,1,0,141501.45
4803,802,2,1,41,5,0.0,2,1,1,134626.3
6233,850,0,1,34,2,72079.71,1,1,1,115767.93
9315,694,0,1,42,8,133767.19,1,1,0,36405.21
6969,619,2,0,38,6,0.0,2,1,1,117616.29
6044,684,0,1,46,0,0.0,2,1,1,36376.97
8773,617,2,1,34,9,0.0,2,1,0,118749.58
4746,757,0,1,32,9,0.0,2,1,0,115950.96
49,776,1,0,37,2,103769.22,2,1,0,194099.12
6427,746,0,1,37,2,0.0,2,1,0,143194.05
4230,670,0,0,41,10,0.0,3,1,0,81602.02
6575,794,1,0,55,6,115796.7,1,1,0,160526.36
7644,675,0,1,28,9,0.0,1,1,0,134110.93
9768,714,1,1,54,4,137986.58,2,0,1,51308.54
8744,664,1,0,49,5,127421.78,2,1,0,108876.75
4531,609,0,1,37,6,0.0,2,0,1,22030.72
7540,553,0,1,37,1,0.0,1,1,0,30461.55
138,584,2,0,48,2,213146.2,1,1,0,75161.25
2409,654,1,1,37,2,145610.07,2,0,0,186300.59
3745,776,1,0,37,1,93124.04,2,1,1,196079.32
2542,549,1,1,41,9,95020.8,3,1,1,131710.59
6291,563,2,1,24,7,0.0,2,0,0,16319.56
4109,702,1,1,28,1,103033.83,1,1,1,40321.87
73,604,1,0,25,5,157780.84,2,1,1,58426.81
3366,640,1,0,74,2,116800.25,1,1,1,34130.43
6843,740,0,1,33,1,129574.98,1,1,1,123300.38
110,685,1,1,30,3,90536.81,1,0,1,63082.88
4679,777,2,0,35,3,0.0,2,1,1,17257.72
4339,559,0,0,43,1,0.0,2,1,1,196645.87
2596,833,0,0,28,4,136674.51,2,0,0,5278.78
6339,644,0,0,24,8,92760.55,1,1,0,35896.75
4583,624,2,0,38,8,0.0,2,1,0,95403.41
7414,737,1,0,45,2,99169.67,2,1,1,78650.95
6941,501,1,1,25,6,104013.79,1,1,0,114774.35
8441,624,0,0,23,5,0.0,2,0,0,132418.59
8439,670,0,1,22,2,114991.45,1,1,1,37392.56
3342,712,1,1,53,6,134729.99,2,1,1,132702.64
8020,850,0,0,46,2,157866.77,1,1,1,18986.12
1971,582,2,1,26,4,65848.36,2,1,0,30149.21
6354,660,2,0,42,5,0.0,3,1,1,189016.24
7758,711,0,1,41,3,0.0,2,1,1,193747.57
9463,664,0,1,24,7,0.0,1,0,1,35611.35
1654,446,0,1,32,8,0.0,2,0,0,133292.94
2213,498,1,0,41,4,87541.06,2,1,1,12577.21
7123,722,0,0,38,3,0.0,2,0,1,167984.72
9911,682,0,1,44,3,115282.3,1,0,0,23766.4
2053,850,0,1,63,8,169832.57,1,0,0,184107.26
4039,479,2,1,27,2,172463.45,1,1,1,40315.27
194,580,2,1,29,9,61710.44,2,1,0,128077.8
1883,790,1,1,24,7,107418.27,1,0,1,160450.21
872,722,0,0,35,2,163943.89,2,1,1,15068.18
3372,652,0,0,37,4,92208.54,1,0,1,197699.8
615,727,2,0,31,0,0.0,1,1,0,121751.04
4597,706,1,0,46,4,105214.58,1,1,0,108699.59
249,739,1,1,54,8,126418.14,1,1,0,134420.75
3523,835,0,1,35,6,127120.07,1,1,0,28707.69
1457,850,0,1,66,4,0.0,2,0,1,64350.8
3483,499,2,1,39,6,0.0,2,1,1,81409.0
7172,602,0,0,33,8,0.0,2,1,1,112928.74
4462,635,2,0,32,8,0.0,2,1,1,19367.98
9920,678,0,0,49,3,204510.94,1,0,1,738.88
645,673,0,0,34,8,42157.08,1,1,0,20598.59
4467,538,0,1,31,1,0.0,2,1,0,1375.46
8062,663,1,0,46,6,95439.4,1,1,1,21038.58
3691,590,0,0,76,5,160979.68,1,0,1,13848.58
3895,673,1,0,25,3,108244.82,2,1,1,103573.96
8954,664,0,1,54,8,0.0,1,1,1,162719.69
9277,633,0,1,29,7,0.0,1,1,1,130224.73
7431,678,0,1,38,3,0.0,2,1,0,66561.6
8436,834,2,1,40,7,0.0,2,0,0,45038.74
1609,619,0,0,35,8,132292.63,1,1,0,65682.93
408,668,1,1,37,10,152958.29,2,1,1,159585.61
1472,726,2,0,26,1,80780.16,1,1,1,19225.85
1247,512,0,1,24,6,0.0,2,1,0,37654.31
9632,760,1,0,34,6,58003.41,1,1,0,90346.1
2166,667,0,1,40,9,0.0,1,1,1,96670.2
5028,478,0,0,38,4,171913.87,1,1,0,51820.87
5158,587,0,1,55,9,0.0,1,1,0,64593.07
4149,623,0,0,39,1,160903.2,1,0,0,78774.36
8405,583,0,1,40,3,0.0,2,1,0,47728.0
9814,631,0,1,36,1,0.0,2,0,0,133141.34
9585,695,2,0,35,7,79858.13,2,1,1,127977.66
308,614,0,1,50,4,137104.47,1,1,0,127166.49
9224,679,0,1,39,0,86843.61,1,0,1,159830.58
2233,565,2,1,38,0,122447.76,1,0,0,67339.34
9271,649,2,0,47,8,110783.28,1,1,1,71420.16
5561,771,2,0,56,2,0.0,1,1,1,25222.6
4646,805,1,0,26,8,42712.87,2,1,1,28861.69
311,729,1,1,30,6,63669.42,1,1,0,145111.37
4526,798,0,1,34,9,154495.79,1,1,0,191395.88
2509,655,0,0,50,10,0.0,4,1,0,179267.94
8465,598,0,0,40,2,171178.25,1,1,0,137980.58
3082,483,0,0,44,5,136836.49,1,1,0,192359.9
689,641,0,0,36,5,66392.64,1,1,0,31106.67
5473,787,1,0,38,3,158373.23,1,1,1,28228.35
1610,588,0,0,24,0,0.0,2,1,1,140586.08
3774,850,0,1,61,1,0.0,1,1,0,53067.83
8199,810,0,1,32,9,120879.73,2,0,1,78896.59
1586,735,0,0,33,4,0.0,2,1,0,149474.69
6569,581,1,1,38,1,133105.47,1,1,0,105732.9
4666,850,1,0,39,5,114491.82,1,1,0,99689.48
6938,725,0,0,33,4,0.0,1,1,1,67879.8
7832,573,2,1,46,3,65269.23,1,0,1,189988.65
9844,658,0,0,40,5,143566.12,1,1,1,189607.71
4206,604,0,0,47,8,62094.71,3,0,0,9308.1
2487,710,0,0,32,3,0.0,1,1,0,94790.34
9887,684,2,1,24,8,143582.89,1,1,1,22527.27
5965,724,0,0,30,9,142475.87,1,1,1,107848.24
7460,647,1,1,30,6,143138.91,2,1,0,2955.46
8817,558,2,1,40,4,161766.87,1,0,0,92378.54
544,504,0,0,49,7,0.0,3,0,1,87822.14
7279,486,1,1,37,1,101438.0,1,0,0,51364.56
848,611,2,1,51,1,122874.74,1,1,1,149648.45
1079,664,0,1,32,10,107209.73,1,1,1,112340.2
7156,632,1,1,65,6,129472.33,1,1,1,85179.48
8614,797,1,1,32,1,151922.94,1,1,0,8877.06
4642,446,1,1,25,3,136202.78,1,1,0,176743.51
1228,659,0,0,38,3,0.0,2,1,0,158553.1
6398,593,2,1,26,9,76226.9,1,1,0,167564.82
6320,618,2,1,32,5,133476.09,1,0,1,154843.4
3423,493,2,1,32,8,46161.18,1,1,1,79577.4
2425,684,2,0,39,4,139723.9,1,1,1,120612.11
4713,837,1,1,35,0,144037.6,1,1,0,145325.32
75,735,0,0,21,1,178718.19,2,1,0,22388.0
7289,627,2,0,35,7,0.0,1,1,0,187718.26
7191,501,0,1,42,9,114631.23,1,0,1,91429.74
3032,495,2,0,45,3,89158.94,3,1,0,135169.76
8276,580,2,1,32,9,142188.2,2,0,1,128028.6
187,525,2,0,37,0,0.0,1,0,1,131521.72
8079,643,0,1,37,6,0.0,2,0,0,142454.77
9986,673,1,1,47,1,183579.54,2,0,1,34047.54
7129,850,2,1,33,3,100476.46,2,1,1,136539.13
604,702,0,1,37,10,150525.8,1,1,1,94728.49
382,492,1,0,30,10,77168.87,2,0,1,146700.22
3908,655,2,1,37,1,0.0,1,1,1,106040.97
5222,550,0,0,22,7,139096.85,1,1,0,129890.94
5503,704,2,1,24,10,122109.78,1,1,1,127654.37
945,697,2,0,25,5,82931.85,2,1,1,128373.88
4615,565,0,0,44,1,0.0,2,0,1,89602.81
1365,625,0,1,43,8,201696.07,1,1,0,133020.9
8855,697,2,1,43,10,128226.37,1,0,0,188486.94
1137,583,0,0,42,4,0.0,2,1,0,17439.66
6949,766,1,1,37,2,99660.13,2,0,1,147700.78
1808,739,0,1,41,5,0.0,2,0,0,143882.25
5564,609,2,1,39,2,139443.75,2,1,0,9234.06
8607,602,1,1,38,2,71667.97,2,0,0,137111.89
4868,754,0,1,37,6,0.0,1,1,1,116141.72
2926,510,0,1,63,8,0.0,2,1,1,115291.86
8483,433,2,1,34,9,152806.74,1,1,0,19687.99
3527,849,0,1,69,7,71996.09,1,1,1,139065.94
6359,650,1,0,45,9,152367.21,3,1,0,150835.21
8778,617,2,0,37,9,101707.8,1,1,0,123866.28
6999,521,0,1,27,4,121325.84,1,1,1,164223.7
3727,781,0,0,27,7,186558.55,1,1,1,175071.29
7682,700,2,1,29,8,0.0,2,0,1,152097.02
1072,624,2,0,23,6,0.0,2,0,1,196668.51
4170,673,1,0,69,3,78833.15,2,1,1,37196.15
8566,679,0,0,39,4,0.0,1,0,0,172939.3
7427,714,2,1,33,8,122017.19,1,0,0,162515.17
3544,731,2,1,33,1,0.0,1,1,0,130726.96
4605,530,0,0,34,8,0.0,2,0,1,141872.52
3352,591,0,1,40,2,99886.42,2,1,1,88695.19
398,701,0,0,39,9,0.0,2,0,1,145894.9
2033,665,2,1,41,8,0.0,2,1,0,132152.32
4142,637,0,0,63,5,0.0,1,1,0,28092.77
1303,593,1,0,32,9,134096.53,2,1,0,53931.05
9245,681,0,0,41,0,120549.29,2,1,0,175722.31
5577,592,0,0,62,5,0.0,1,1,1,100941.57
7365,568,2,0,36,10,153610.61,1,1,1,54083.8
3208,607,1,1,36,8,143421.74,1,1,0,97879.02
6486,710,0,1,40,5,0.0,2,0,0,162878.96
215,668,1,1,47,7,106854.21,1,0,1,157959.02
7320,850,1,0,31,1,130089.56,2,1,1,4466.21
1845,737,0,1,36,9,0.0,1,0,1,188670.9
1709,850,2,1,30,2,0.0,2,0,1,27937.12
4981,667,2,0,23,6,136100.69,2,0,0,169669.33
1591,621,0,1,39,6,0.0,2,1,1,58883.91
3013,471,0,0,27,4,0.0,2,1,0,122642.09
8303,521,0,1,43,8,0.0,1,1,1,93180.09
1414,485,1,0,30,5,156771.68,1,1,1,141148.21
2939,533,0,0,39,2,0.0,1,0,1,73669.94
9795,506,0,1,43,2,0.0,2,1,0,105568.6
7517,586,0,1,58,7,151933.63,1,1,0,162960.05
775,648,0,1,33,7,134944.0,1,1,1,117036.38
5798,732,2,1,54,0,134249.7,1,0,1,13404.4
4818,752,0,0,36,1,86837.95,1,1,1,105280.55
1327,703,2,1,20,3,165260.98,1,1,1,41626.78
6119,490,0,1,33,1,0.0,2,1,1,80792.83
5622,670,0,1,38,10,89416.99,1,0,0,144275.39
9446,544,0,1,30,4,73218.89,1,0,1,126796.69
4958,655,0,1,37,6,109093.41,2,1,0,1775.52
8911,718,1,1,32,9,169947.41,2,1,1,27979.16
1056,675,2,1,33,3,0.0,2,1,0,45348.08
9306,594,0,1,37,2,0.0,2,0,1,95864.5
1676,812,2,0,44,8,0.0,3,1,0,66926.83
5341,646,0,0,51,4,101629.3,1,0,0,130541.1
4140,841,1,0,33,7,154969.79,2,1,1,99505.75
4944,630,0,1,53,5,138053.67,1,0,1,114110.97
2919,538,2,0,42,9,0.0,1,0,0,152855.96
3285,735,1,0,43,9,98807.45,1,0,0,184570.04
5143,646,2,1,31,2,0.0,1,1,1,170821.43
5673,639,2,1,34,5,139393.19,2,0,0,33950.08
4310,784,0,1,38,5,136712.91,1,0,1,169920.92
7154,605,0,1,33,9,128152.82,1,0,0,147822.81
7437,628,0,0,29,9,71996.29,1,1,1,34857.46
1263,638,0,0,42,7,165679.92,1,0,0,32916.29
4209,682,0,1,55,9,0.0,1,1,0,153356.8
6458,589,0,1,36,1,100895.54,1,1,1,68075.14
6067,563,0,0,34,6,0.0,2,0,0,36536.93
7649,715,0,0,31,3,110581.29,1,1,1,94715.24
8351,585,0,0,30,6,0.0,2,1,1,137757.69
4286,781,0,0,42,3,156555.54,1,1,1,175674.01
395,645,1,0,37,2,136925.09,2,0,1,153400.24
3634,681,0,1,23,7,157761.56,1,0,0,147759.84
6156,794,2,1,33,8,0.0,2,0,0,91340.02
822,642,2,1,34,8,0.0,1,1,0,72085.1
5288,582,0,1,30,2,0.0,2,1,1,132029.95
9011,775,0,1,42,6,133970.22,2,0,1,187839.9
9250,713,2,1,42,0,109121.71,1,0,1,167873.49
324,734,0,1,30,3,0.0,2,1,0,107640.25
2074,661,1,1,44,1,141136.62,1,1,0,189742.78
1363,775,2,1,30,4,0.0,2,0,1,57461.13
8434,512,1,1,41,7,122403.24,1,0,1,37439.9
5298,695,0,1,36,6,114007.5,2,1,0,118120.88
8700,709,1,1,23,8,73314.04,2,1,0,63446.47
6961,745,0,0,33,1,0.0,2,1,1,174431.01
725,787,0,0,42,10,145988.65,2,1,1,79510.37
1563,559,2,0,40,5,139129.44,1,0,1,32635.54
3434,692,0,1,66,4,159732.02,1,1,1,118188.15
798,683,0,0,35,6,187530.66,2,1,1,37976.36
5962,579,1,1,42,0,144386.32,1,1,1,22497.1
6776,621,2,0,43,8,0.0,1,0,0,102806.6
8207,566,2,1,63,2,120787.18,2,1,1,52198.84
186,730,0,0,39,1,99010.67,1,1,0,194945.8
2098,601,0,0,43,2,0.0,1,1,0,49713.87
2906,802,2,1,41,6,0.0,2,1,0,47322.05
362,648,0,0,50,9,102535.57,1,1,1,189543.19
6402,719,0,1,36,3,155423.17,1,1,1,199841.32
9750,708,0,0,51,8,70754.18,1,1,1,92920.04
9601,659,0,0,33,7,89939.62,1,1,0,136540.09
2998,751,0,1,47,5,142669.93,2,1,0,162760.96
2925,717,0,0,76,9,138489.66,1,1,1,68400.14
9638,744,1,0,50,1,121498.11,2,0,1,106061.47
4412,666,0,0,40,2,0.0,2,0,0,36371.27
8905,557,0,1,36,3,0.0,1,0,1,144078.02
5324,654,1,1,31,5,150593.59,2,1,1,105218.45
1691,591,2,1,31,8,0.0,1,1,1,141677.33
5616,805,2,1,26,2,0.0,2,1,1,25042.1
7535,611,1,0,36,10,103294.56,1,1,0,160548.12
3368,630,0,1,67,5,0.0,2,1,1,27330.27
3259,841,0,1,31,2,0.0,2,1,0,173240.52
114,721,1,1,28,9,154475.54,2,0,1,101300.94
1300,538,0,1,37,1,134752.08,1,1,0,162511.55
5603,598,2,1,39,1,0.0,2,1,0,159130.32
2360,518,1,0,41,5,110624.99,1,1,0,89327.67
6987,532,0,1,60,5,76705.87,2,0,1,13889.73
8286,632,2,1,28,7,155519.59,1,1,0,1843.24
782,517,0,1,41,2,0.0,2,0,1,75937.47
349,582,0,1,39,5,0.0,2,1,1,129892.93
423,678,0,0,35,4,0.0,1,1,0,125518.32
2200,701,0,1,37,8,130091.5,1,1,1,120031.29
5418,562,1,1,35,3,142296.13,1,0,1,177112.7
817,580,1,0,42,2,123331.36,1,0,0,103516.08
9639,761,2,0,32,4,103515.39,2,1,1,177622.38
9652,480,0,0,40,7,0.0,1,1,0,170332.67
8054,525,1,0,47,1,118087.68,1,1,0,88120.78
7137,630,1,0,28,8,106425.75,1,1,1,20344.84
7285,679,0,1,29,3,0.0,2,1,1,63687.06
7770,699,0,1,29,3,125689.29,1,1,1,151623.71
8900,604,0,0,71,2,0.0,2,1,1,49506.82
5319,645,1,1,25,1,157404.02,2,1,0,93073.04
8018,632,1,1,23,3,122478.51,1,1,0,147230.77
2352,637,2,0,45,2,157929.45,1,1,1,145134.49
4456,544,0,1,40,8,0.0,2,1,0,61581.2
2879,750,1,0,52,6,107467.56,1,1,0,126233.18
6542,591,0,1,35,7,183027.25,1,1,1,56028.79
2119,690,0,1,29,5,0.0,2,1,0,108577.97
8866,526,1,1,34,3,122726.56,1,1,1,46772.36
6505,596,1,1,48,2,131326.47,1,0,0,1140.02
2951,763,1,1,31,7,143966.3,2,1,1,140262.96
4727,648,0,0,19,1,0.0,2,0,1,22101.86
6478,850,0,1,35,9,102050.47,1,1,1,3769.71
7169,490,0,1,34,5,122952.9,2,0,0,154360.97
4341,647,1,0,35,3,166518.63,2,1,0,147930.46
9106,698,1,1,52,10,107304.39,3,1,0,28806.32
8521,545,0,1,37,3,91184.01,1,1,0,105476.65
8442,598,0,0,34,4,0.0,2,0,0,60894.26
9936,609,0,1,77,1,0.0,1,0,1,18708.76
4187,656,2,1,32,5,136963.12,1,1,0,133814.28
5056,767,1,1,23,2,139542.82,1,0,1,28038.28
1613,739,1,1,29,3,59385.98,2,1,1,105533.96
376,745,1,1,45,10,117231.63,3,1,1,122381.02
1739,715,0,1,23,7,139224.92,2,1,0,65057.71
5788,602,0,0,42,10,0.0,2,0,0,169921.11
5363,771,2,1,51,5,135506.58,3,1,1,152479.64
5580,616,2,1,30,2,0.0,2,1,0,199099.51
754,838,2,0,39,5,166733.92,2,1,0,14279.44
5423,794,0,1,35,6,0.0,2,1,1,68730.91
8562,697,0,1,63,7,148368.02,1,0,0,118862.08
9555,782,1,0,72,5,148666.99,1,1,0,2605.65
9939,693,2,0,57,9,0.0,2,1,1,135502.77
1293,641,0,1,30,2,87505.47,2,0,1,7278.57
8704,784,2,0,42,2,109052.04,2,1,0,6409.55
9039,545,2,0,44,1,0.0,2,1,1,82614.89
7340,689,0,1,39,4,0.0,2,1,0,196112.45
4667,749,1,1,54,3,144768.94,1,1,0,93336.3
107,785,1,0,36,2,99806.85,1,0,1,36976.52
2629,768,2,0,42,3,0.0,1,0,0,161242.99
4552,610,0,0,25,2,0.0,2,1,0,123723.83
6271,747,0,1,49,6,202904.64,1,1,1,17298.72
7629,723,1,0,68,3,110357.0,1,0,0,141977.54
5974,773,0,1,45,8,96877.21,1,1,1,113950.51
9744,586,1,1,46,8,106968.96,1,1,1,79366.98
1034,663,0,1,46,3,0.0,2,0,1,176276.1
5420,695,0,1,28,5,171069.39,2,1,1,88689.4
3595,722,1,0,32,5,106807.64,1,1,1,76998.69
6101,833,2,1,32,6,0.0,1,1,1,44323.22
5164,642,0,1,36,4,0.0,2,1,1,195224.91
6176,608,1,0,38,8,103653.51,2,1,1,137079.86
2418,614,0,1,40,6,0.0,1,1,1,20339.79
8340,553,1,0,25,7,128524.19,2,1,0,20682.46
240,662,2,1,38,4,0.0,2,1,0,136259.65
4637,758,0,0,30,3,141581.08,1,1,0,156249.06
6676,619,2,1,52,8,0.0,2,1,1,123242.11
5716,611,1,1,37,1,117524.72,2,0,1,161064.29
8993,547,0,0,35,4,0.0,1,1,1,133287.73
6763,718,0,0,67,7,0.0,3,1,1,82782.08
